,name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
158,portrait-of-a-gentleman,,Italian,2201.0,2945.0,0.576120669232414,0.4828969502488199,0.43594914737450396
159,portrait-of-a-gentleman,,British,640.0,800.0,0.10040746776588244,0.5953161835933676,0.26218688725490197
160,portrait-of-a-gentleman,,British,728.0,944.0,0.09517453842603923,0.4002936368348918,0.3646784406396197
161,portrait-of-a-gentleman,,British,2201.0,2945.0,0.576120669232414,0.4828969502488199,0.43594914737450396
162,portrait-of-a-gentleman,1784,British,640.0,800.0,0.10040746776588244,0.5953161835933676,0.26218688725490197
163,portrait-of-a-gentleman,1784,British,728.0,944.0,0.09517453842603923,0.4002936368348918,0.3646784406396197
164,portrait-of-a-gentleman,1784,British,2201.0,2945.0,0.576120669232414,0.4828969502488199,0.43594914737450396
165,portrait-of-a-gentleman,1788,British,640.0,800.0,0.10040746776588244,0.5953161835933676,0.26218688725490197
166,portrait-of-a-gentleman,1788,British,728.0,944.0,0.09517453842603923,0.4002936368348918,0.3646784406396197
167,portrait-of-a-gentleman,1788,British,2201.0,2945.0,0.576120669232414,0.4828969502488199,0.43594914737450396
168,portrait-of-a-lady-in-a-green-dress,1530,Italian,369.0,500.0,0.13945188773493353,0.7568376929841986,0.17365086348902706
169,portrait-of-a-man,1530,Italian,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
170,portrait-of-a-man,1530,Italian,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
171,portrait-of-a-man,1530,Italian,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
172,portrait-of-a-man,,Italian,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
173,portrait-of-a-man,,Italian,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
174,portrait-of-a-man,,Italian,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
175,portrait-of-a-man,,British,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
176,portrait-of-a-man,,British,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
177,portrait-of-a-man,,British,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
178,portrait-of-a-man,,British,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
179,portrait-of-a-man,,British,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
180,portrait-of-a-man,,British,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
181,portrait-of-a-man,,British,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
182,portrait-of-a-man,,British,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
183,portrait-of-a-man,,British,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
184,portrait-of-a-man,,British,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
185,portrait-of-a-man,,British,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
186,portrait-of-a-man,,British,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
187,portrait-of-a-man,,British,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
188,portrait-of-a-man,,British,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
189,portrait-of-a-man,,British,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
190,portrait-of-a-man,1973,British,542.0,800.0,0.14279314877948301,0.6284084663399389,0.3265594385355619
191,portrait-of-a-man,1973,British,751.0,944.0,0.29376008460803354,0.4045072785153728,0.6922021496540116
192,portrait-of-a-man,1973,British,296.0,380.0,0.14526071197271437,0.5528939930848495,0.35902630184363926
193,portrait-of-bernardino-da-lesmo,,Italian,1709.0,2577.0,0.32543629157052856,0.32633307928003,0.3360697165737666
194,ritratto-di-ludovico-martinego,,Italian,1723.0,2561.0,0.8113204635898809,0.4115701235146796,0.29386220315212724
195,francesco-maria-della-rovere,,Italian,347.0,480.0,0.2929080925403854,0.5491423739776734,0.4550324207492795
196,madonna-con-il-bambino-1,,Italian,2045.0,2575.0,0.6343979244599467,0.35496133088317305,0.4574664453005547
197,ritratto-di-gentiluomo-1,,Italian,1885.0,2577.0,0.7459564768595561,0.4254506575840298,0.27014556375750426
198,santa-caterina-d-alessandria,,Italian,1798.0,2574.0,0.372348647827673,0.43988965693649285,0.39334786991987813
199,ritratto-di-gentiluomo,,Italian,2001.0,2577.0,0.7774868776399242,0.4086192864557911,0.2685370995861301
200,madonna-della-pera,,Italian,1847.0,2577.0,0.44874320065172624,0.45431865720110115,0.3942759102326148
201,portrait-of-a-noble-lady,,Italian,1885.0,2945.0,0.7403598372191288,0.340781527739166,0.2531764387993222
202,john-the-baptist,,Italian,543.0,900.0,0.3751496834465279,0.3120363952412293,0.47237645293435565
203,young-woman-as-saint-catherine,,Italian,411.0,500.0,0.2515837448166011,0.5557092249485631,0.3088874385764038
204,portrait-of-donna-ebrea-con-gli-attributi-di-joele,,Italian,2253.0,2920.0,0.6944361806987819,0.4315086595021117,0.34498754160596923
205,quattro-personaggi-che-ridono,,Italian,2449.0,1349.0,0.5915493190557584,0.45793729754032775,0.44316863266438455
206,cosimo-de-medici,,Italian,350.0,436.0,0.5093862794401127,0.47848556245308776,0.342735641045409
207,st-mark,,Italian,916.0,930.0,0.273162726730345,0.30813188834595434,0.5768132352250662
208,st-matthew,,Italian,930.0,925.0,0.14544762716128862,0.3466434108887906,0.5492068949404812
209,portrait-of-lorenzo-lenzi,,Italian,1118.0,1433.0,0.2983788052243278,0.4186398309097722,0.3308431071227686
210,holy-family,,Italian,822.0,1074.0,0.12684827700128773,0.5070535530365603,0.5161906696101486
211,allegorical-portrait-of-dante,1530,Italian,844.0,900.0,0.262262736608114,0.2430945094716467,0.49597768175200574
212,galatea-and-pygmalion,,Italian,2024.0,2603.0,0.16046370057481046,0.5535024399217717,0.21247452957971896
213,the-dead-christ-with-the-virgin-and-st-mary-magdalene,1530,Italian,2536.0,3013.0,0.1640442903814807,0.4013870449757866,0.38060505925837806
214,portrait-of-a-young-man,,Italian,2536.0,3089.0,0.2771347514895256,0.2544098589741984,0.2806462019128887
215,portrait-of-a-young-man,,British,2536.0,3089.0,0.2771347514895256,0.2544098589741984,0.2806462019128887
216,portrait-of-a-young-man,,British,2536.0,3089.0,0.2771347514895256,0.2544098589741984,0.2806462019128887
217,portrait-of-a-young-man,,Italian,2536.0,3089.0,0.2771347514895256,0.2544098589741984,0.2806462019128887
