name,year,nationality,width,height,mean_hue,mean_saturation,mean_brightness
self-portrait,1881,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1881,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1885,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1885,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1885,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1885,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1885,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1885,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1885,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1885,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1885,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1885,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1887,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1887,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1887,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1887,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1887,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1887,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1887,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1887,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1887,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1887,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1901,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1901,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1901,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1901,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1901,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1901,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1901,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1901,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1901,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1901,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1910,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1910,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1910,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1910,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1910,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1910,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1910,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1910,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1910,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1910,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
self-portrait,1950,Russian,591,742,0.18587177795441648,0.5797325701561323,0.3030139655389659
self-portrait,1950,Russian,1197,1467,0.30955850668288537,0.4144308610880281,0.34721519840072285
self-portrait,1950,Russian,686,800,0.560866904267498,0.19338296009681663,0.3680863130966671
self-portrait,1950,Russian,890,1100,0.1148766240503053,0.6009279777952913,0.31751303651184687
self-portrait,1950,Russian,623,1000,0.5635942126982278,0.020575740536124335,0.7659768042048283
self-portrait,1950,Russian,776,1000,0.715852997699687,0.35656779068167543,0.19691228016979978
self-portrait,1950,Russian,675,1000,0.46160291842858187,0.014607323164774956,0.7982412316630358
self-portrait,1950,Russian,764,1000,0.08761936706466349,0.34161804219684117,0.5562429319371726
self-portrait,1950,Russian,533,550,0.46793370143555474,0.24729584660107867,0.35469302003591824
self-portrait,1950,Russian,640,816,0.5437368129246029,0.3515400198827757,0.4769962574490581
portrait-of-an-unknown-woman,1790,Russian,709,887,0.4719347951442042,0.283189444633805,0.581900383415563
portrait-of-an-unknown-woman,1790,Russian,545,773,0.15708020005206524,0.36177908696663286,0.5846644730978309
portrait-of-an-unknown-woman,1790,Russian,762,900,0.4779344249314931,0.3433566333973761,0.42860612194717507
portrait-of-an-unknown-woman,1790,Russian,464,586,0.19369525866222542,0.14418537725120695,0.5953303443891383
portrait-of-an-unknown-woman,,Russian,709,887,0.4719347951442042,0.283189444633805,0.581900383415563
portrait-of-an-unknown-woman,,Russian,545,773,0.15708020005206524,0.36177908696663286,0.5846644730978309
portrait-of-an-unknown-woman,,Russian,762,900,0.4779344249314931,0.3433566333973761,0.42860612194717507
portrait-of-an-unknown-woman,,Russian,464,586,0.19369525866222542,0.14418537725120695,0.5953303443891383
portrait-of-an-unknown-woman,1811,Russian,709,887,0.4719347951442042,0.283189444633805,0.581900383415563
portrait-of-an-unknown-woman,1811,Russian,545,773,0.15708020005206524,0.36177908696663286,0.5846644730978309
portrait-of-an-unknown-woman,1811,Russian,762,900,0.4779344249314931,0.3433566333973761,0.42860612194717507
portrait-of-an-unknown-woman,1811,Russian,464,586,0.19369525866222542,0.14418537725120695,0.5953303443891383
portrait-of-an-unknown-woman,1820,Russian,709,887,0.4719347951442042,0.283189444633805,0.581900383415563
portrait-of-an-unknown-woman,1820,Russian,545,773,0.15708020005206524,0.36177908696663286,0.5846644730978309
portrait-of-an-unknown-woman,1820,Russian,762,900,0.4779344249314931,0.3433566333973761,0.42860612194717507
portrait-of-an-unknown-woman,1820,Russian,464,586,0.19369525866222542,0.14418537725120695,0.5953303443891383
archbishop-sylvester-kuliabka,,Russian,1072,1464,0.2974443818554259,0.5706909423141797,0.3269824960099855
countess-anna-vorontsova,,Russian,1095,1464,0.3351171845682955,0.4892943945843207,0.3638526033464011
portrait-of-a-mistress-agrippina-leontyevna-apraksina,,Russian,2088,2861,0.09375847259322015,0.41891416913806184,0.3852544678274593
portrait-of-brigadier-michael-dmitrievich-buturlin,,Russian,948,1283,0.11729973026084672,0.4759666613464424,0.3808998588500454
portrait-of-elizabeth-of-russia,,Russian,442,550,0.3429875713734779,0.3585989600324402,0.2910212209935393
portrait-of-prince-m-i-vorontsov,,Russian,824,1073,0.2564720744594501,0.3032717518302069,0.2899101724856466
portrait-of-paul-of-russia-dressed-as-chevalier-of-the-order-of-st-andrew,1760,Russian,849,1120,0.18329257615788233,0.20496026742356058,0.3860680179020961
portrait-of-major-of-army-corps,1766,Russian,528,740,0.24817597063178737,0.4683013636217037,0.39399526866438617
portrait-of-anna-muravyova,1768,Russian,437,550,0.15491308095203876,0.2941261872838452,0.3786274428223546
portrait-of-prince-g-g-orlov,1768,Russian,908,1134,0.2547616191165893,0.22373510702448363,0.31472204588584757
portrait-of-alexey-bobrinsky-as-a-child-1769-1,,Russian,1164,1478,0.14063546227599466,0.4208563933470872,0.40749814748102536
portrait-of-agrafena-ribeaupierre,,Russian,541,806,0.11929128372745984,0.6998527377762759,0.19367004182775105
portrait-of-alexandra-perfilyeva-n-e-countess-tolstaya,,Russian,426,550,0.19040163198883253,0.3141003716678593,0.24405042973228555
portrait-of-daria-aleksandrovna-troubetskaya,,Russian,420,550,0.13104734989012473,0.2834104133782716,0.315522230710466
natalia-ozerova,,Russian,440,550,0.15079998576015902,0.33839395617298146,0.5044688543185869
